operator,directory,total_tests,passed_tests,failed_tests,correctness_rate,avg_speedup,geomean_speedup,avg_benchmark_time,mean_absolute_error,mean_relative_error,max_relative_error,max_absolute_error
abs.default,abs,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
acos.default,acos,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
acosh.default,acosh,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
add.Tensor,add,20,20,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
_local_scalar_dense.default,_local_scalar_dense,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
arange.start_step,arange,19,19,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
arange.start,arange,5,5,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
arange.default,arange,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
cauchy_.default,cauchy_,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
exponential_.default,exponential_,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
geometric_.default,geometric_,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
log_normal_.default,log_normal_,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
normal_.default,normal_,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
uniform_.default,uniform_,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
clamp_max.Tensor,clamp_max,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
clamp_min.Tensor,clamp_min,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
mul.Tensor,mul,19,19,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
sub.Tensor,sub,11,11,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
addmm.default,addmm,12,12,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
addmv.default,addmv,6,6,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
addbmm.default,addbmm,6,6,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
baddbmm.default,baddbmm,6,6,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
dot.default,dot,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
vdot.default,vdot,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
bmm.default,bmm,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
mv.default,mv,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
addr.default,addr,5,5,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
addcmul.default,addcmul,12,12,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
addcdiv.default,addcdiv,12,12,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
asin.default,asin,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
asinh.default,asinh,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
atan.default,atan,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
atan2.default,atan2,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
atanh.default,atanh,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
allclose.default,allclose,12,12,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
expand.default,expand,16,16,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
ceil.default,ceil,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
clone.default,clone,2,2,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
clamp.Tensor,clamp,7,7,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
copysign.Tensor,copysign,9,9,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
copysign.Scalar,copysign,1,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
cos.default,cos,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
cosh.default,cosh,3,3,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
linalg_cross.default,linalg_cross,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
cumsum.default,cumsum,4,4,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
cumprod.default,cumprod,7,7,0,1.0,0.0,0.0,,nan,nan,0.0,0.0
cummax.default,cummax,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
cummin.default,cummin,3,3,0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
