operator,total_tests,passed_tests,failed_tests,correctness_rate,avg_speedup,geomean_speedup,mean_absolute_error,mean_relative_error,max_relative_error,max_absolute_error
_log_softmax.default,1,0,1,0.0,0.46062812209129333,0.46062812209129333,5.2555012786115185e-08,4.846431256311234e-09,4.846431256311234e-09,5.2555012786115185e-08
_log_softmax_backward_data.default,1,0,1,0.0,1.0,1.0,nan,nan,nan,nan
_softmax.default,1,0,1,0.0,1.1178174018859863,1.1178174018859863,6.02931038429233e-11,6.240163230586404e-08,6.240163230586404e-08,6.02931038429233e-11
_softmax_backward_data.default,1,0,1,0.0,2.1361887454986572,2.1361887454986572,0.0008692158735357225,6.814712833147496e-06,6.814712833147496e-06,0.0008692158735357225
abs.default,1,0,1,0.0,0.9538167119026184,0.9538167119026184,0.0,0.0,0.0,0.0
add.Tensor,1,0,1,0.0,0.5352869629859924,0.5352869629859924,0.0,0.0,0.0,0.0
add_.Tensor,1,0,1,0.0,0.9951728582382202,0.9951728582382202,0.0,0.0,0.0,0.0
addmm.default,1,0,1,0.0,0.73671954870224,0.73671954870224,0.0,0.0,0.0,0.0
any.default,1,0,1,0.0,1.390386700630188,1.390386700630188,0.0,0.0,0.0,0.0
bitwise_and.Tensor,1,0,1,0.0,1.3804928064346313,1.3804928064346313,0.0,0.0,0.0,0.0
bitwise_not.default,1,0,1,0.0,1.0370315313339233,1.0370315313339233,0.0,0.0,0.0,0.0
bmm.default,1,0,1,0.0,1.007320523262024,1.007320523262024,0.0,0.0,0.0,0.0
cat.default,1,0,1,0.0,0.4534091353416443,0.4534091353416443,0.0,0.0,0.0,0.0
clamp.default,1,0,1,0.0,0.9495846033096313,0.9495846033096313,0.0,0.0,0.0,0.0
constant_pad_nd.default,1,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
cos.default,1,0,1,0.0,1.0097864866256714,1.0097864866256714,0.0,0.0,0.0,0.0
cumsum.default,1,0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0
div.Scalar,1,0,1,0.0,0.27100488543510437,0.27100488543510437,0.0,0.0,0.0,0.0
div.Tensor,1,0,1,0.0,0.9968039989471436,0.9968039989471436,0.0,0.0,0.0,0.0
div_.Tensor,1,0,1,0.0,0.9911210536956787,0.9911210536956787,0.0,0.0,0.0,0.0
elu.default,1,0,1,0.0,1.0010937452316284,1.0010937452316284,0.0,0.0,0.0,0.0
eq.Scalar,1,0,1,0.0,0.5283951163291931,0.5283951163291931,0.0,0.0,0.0,0.0
eq.Tensor,1,0,1,0.0,1.0,1.0,0.00047810873365961015,0.00047810873365961015,0.00047810873365961015,0.00047810873365961015
erf.default,1,0,1,0.0,1.0244579315185547,1.0244579315185547,0.0,0.0,0.0,0.0
exp.default,1,0,1,0.0,0.9959784746170044,0.9959784746170044,0.0,0.0,0.0,0.0
fill_.Scalar,1,0,1,0.0,1.0013000965118408,1.0013000965118408,0.0,0.0,0.0,0.0
fill_.Tensor,1,0,1,0.0,1.1365282535552979,1.1365282535552979,0.0,0.0,0.0,0.0
flip.default,1,0,1,0.0,1.3388121128082275,1.3388121128082275,0.0,0.0,0.0,0.0
floor_divide.default,1,0,1,0.0,1.3881853818893433,1.3881853818893433,0.0,0.0,0.0,0.0
ge.Scalar,1,0,1,0.0,1.0128709077835083,1.0128709077835083,0.0,0.0,0.0,0.0
gelu.default,1,0,1,0.0,0.9797725677490234,0.9797725677490234,1.8140607288899546e-12,1.8331517992464796e-07,1.8331517992464796e-07,1.8140607288899546e-12
gelu_backward.default,1,0,1,0.0,0.9730849266052246,0.9730849266052246,9.411547097215589e-09,2.3323702080801922e-08,2.3323702080801922e-08,9.411547097215589e-09
gt.Scalar,1,0,1,0.0,0.9797220826148987,0.9797220826148987,0.0,0.0,0.0,0.0
gt.Tensor,1,0,1,0.0,1.4289740324020386,1.4289740324020386,0.0,0.0,0.0,0.0
isinf.default,1,0,1,0.0,1.5140529870986938,1.5140529870986938,0.0,0.0,0.0,0.0
isnan.default,1,0,1,0.0,0.9902448654174805,0.9902448654174805,0.0,0.0,0.0,0.0
le.Scalar,1,0,1,0.0,1.0007787942886353,1.0007787942886353,nan,nan,nan,nan
lt.Scalar,1,0,1,0.0,1.0157675743103027,1.0157675743103027,0.0,0.0,0.0,0.0
lt.Tensor,1,0,1,0.0,0.9824897646903992,0.9824897646903992,0.0,0.0,0.0,0.0
masked_fill.Scalar,1,0,1,0.0,1.3762940168380737,1.3762940168380737,0.0,0.0,0.0,0.0
masked_fill.Tensor,1,0,1,0.0,0.8653818368911743,0.8653818368911743,0.0,0.0,0.0,0.0
masked_fill_.Scalar,1,0,1,0.0,0.8996749520301819,0.8996749520301819,0.0,0.0,0.0,0.0
max.default,1,0,1,0.0,1.3413163423538208,1.3413163423538208,0.0,0.0,0.0,0.0
max.dim,1,0,1,0.0,0.30170825123786926,0.30170825123786926,0.0,0.0,0.0,0.0
maximum.default,1,0,1,0.0,1.0065579414367676,1.0065579414367676,0.0,0.0,0.0,0.0
mean.default,1,0,1,0.0,1.0,1.0,inf,inf,inf,inf
mean.dim,1,0,1,0.0,1.1632918119430542,1.1632918119430542,7.450580596923828e-09,1.4988987828701283e-08,1.4988987828701283e-08,7.450580596923828e-09
min.default,1,0,1,0.0,0.8312283754348755,0.8312283754348755,0.0,0.0,0.0,0.0
minimum.default,1,0,1,0.0,1.0,1.0,2.9445247491821647e-05,8.849286678014323e-05,8.849286678014323e-05,2.9445247491821647e-05
mm.default,1,0,1,0.0,2.022066593170166,2.022066593170166,3.252565383911133,0.0002590605872683227,0.0002590605872683227,3.252565383911133
mse_loss.default,1,0,1,0.0,1.4367135763168335,1.4367135763168335,0.0,0.0,0.0,0.0
mul.Tensor,1,0,1,0.0,0.9845077395439148,0.9845077395439148,0.0,0.0,0.0,0.0
mul_.Tensor,1,0,1,0.0,0.418643981218338,0.418643981218338,0.0,0.0,0.0,0.0
native_batch_norm.default,1,0,1,0.0,1.0,1.0,0.00016743422068543623,8.605037673229769e-05,8.605037673229769e-05,0.00016743422068543623
native_batch_norm_backward.default,1,0,1,0.0,1.0,1.0,nan,nan,nan,nan
native_group_norm.default,1,0,1,0.0,0.4493125379085541,0.4493125379085541,4.6125283309568964e-05,0.0006845962877074877,0.0006845962877074877,4.6125283309568964e-05
native_group_norm_backward.default,1,0,1,0.0,0.48115020990371704,0.48115020990371704,nan,nan,nan,nan
native_layer_norm.default,1,0,1,0.0,1.0,1.0,0.00020745179911803766,0.0007588568842038512,0.0007588568842038512,0.00020745179911803766
ne.Scalar,1,0,1,0.0,1.0100438594818115,1.0100438594818115,0.0,0.0,0.0,0.0
