operator,total_tests,passed_tests,failed_tests,correctness_rate,avg_speedup,geomean_speedup,max_absolute_error,max_relative_error
_adaptive_avg_pool2d.default,2,1,1,0.5,0.9998403399677521,0.9998403191566467,0.0,0.0
_adaptive_avg_pool2d_backward.default,2,1,1,0.5,1.0004360328943553,1.0004360675811768,0.0,0.0
_cudnn_rnn.default,2,1,1,0.5,0.0,0.0,0.0,0.0
_log_softmax.default,2,1,1,0.5,1.002306326326162,1.002306342124939,0.0,0.0
_log_softmax_backward_data.default,2,1,1,0.5,1.0006281501577559,1.000628113746643,nan,nan
_softmax.default,2,1,1,0.5,0.9968927925593369,0.9968928098678589,0.0,0.0
_softmax_backward_data.default,2,1,1,0.5,0.9997702400487053,0.9997702240943909,0.0,0.0
_sparse_coo_tensor_with_dims_and_tensors.default,2,1,1,0.5,1.0001411369240878,1.0001411437988281,0.0,0.0
_to_copy.default,2,1,1,0.5,0.9829626537544472,0.9829626679420471,0.0,0.0
_unsafe_view.default,2,1,1,0.5,0.9991656354956949,0.9991656541824341,0.0,0.0
abs.default,2,1,1,0.5,0.9341641255320022,0.9341641068458557,0.0,0.0
add.Scalar,2,1,1,0.5,0.901030926137226,0.9010308980941772,0.0,0.0
add.Tensor,2,1,1,0.5,1.0001253929371792,1.0001254081726074,0.0,0.0
add_.Tensor,2,1,1,0.5,0.9978339970501555,0.9978340268135071,0.0,0.0
addcmul.default,2,1,1,0.5,1.0143875763075527,1.014387607574463,0.0,0.0
addmm.default,2,1,1,0.5,1.001064488793631,1.0010645389556885,0.0,0.0
any.default,2,1,1,0.5,0.9974320490973294,0.9974320530891418,0.0,0.0
as_strided_.default,2,1,1,0.5,0.9980988948603935,0.9980989098548889,0.0,0.0
avg_pool2d.default,2,1,1,0.5,1.000222530732008,1.0002225637435913,0.0,0.0
avg_pool2d_backward.default,2,1,1,0.5,0.9998197811401062,0.9998197555541992,0.0,0.0
bitwise_and.Tensor,2,1,1,0.5,1.0805483354226448,1.0805482864379883,0.0,0.0
bitwise_not.default,2,1,1,0.5,0.9810830871469484,0.9810830950737,0.0,0.0
bitwise_xor.Tensor,2,1,1,0.5,1.0728260094815372,1.0728260278701782,0.0,0.0
bmm.default,2,1,1,0.5,1.002526801903702,1.0025267601013184,0.0,0.0
