operator,directory,total_tests,passed_tests,failed_tests,correctness_rate,avg_speedup,geomean_speedup,avg_benchmark_time,mean_absolute_error,mean_relative_error,max_relative_error,max_absolute_error
_log_softmax.default,_log_softmax,1,1,0,1.0,0.4569477438926697,0.4569477438926697,,5.2555012786115185e-08,4.846431256311234e-09,4.846431256311234e-09,5.2555012786115185e-08
_log_softmax_backward_data.default,_log_softmax_backward_data,1,0,1,0.0,1.0,1.0,,nan,nan,nan,nan
_softmax.default,_softmax,1,1,0,1.0,1.114104151725769,1.114104151725769,,6.02931038429233e-11,6.240163230586404e-08,6.240163230586404e-08,6.02931038429233e-11
_softmax_backward_data.default,_softmax_backward_data,1,1,0,1.0,2.133909225463867,2.133909225463867,,0.0008692158735357225,6.814712833147496e-06,6.814712833147496e-06,0.0008692158735357225
abs.default,abs,1,1,0,1.0,0.957202136516571,0.957202136516571,,0.0,0.0,0.0,0.0
add.Tensor,add,1,1,0,1.0,0.5352447032928467,0.5352447032928467,,0.0,0.0,0.0,0.0
add_.Tensor,add_,1,1,0,1.0,0.9947469234466553,0.9947469234466553,,0.0,0.0,0.0,0.0
addmm.default,addmm,1,1,0,1.0,0.7382253408432007,0.7382253408432007,,0.0,0.0,0.0,0.0
any.default,any,1,1,0,1.0,1.3826016187667847,1.3826016187667847,,0.0,0.0,0.0,0.0
bitwise_and.Tensor,bitwise_and,1,1,0,1.0,1.384379506111145,1.384379506111145,,0.0,0.0,0.0,0.0
bitwise_not.default,bitwise_not,1,1,0,1.0,1.0317679643630981,1.0317679643630981,,0.0,0.0,0.0,0.0
bmm.default,bmm,1,1,0,1.0,1.0039993524551392,1.0039993524551392,,0.0,0.0,0.0,0.0
cat.default,cat,1,1,0,1.0,0.45395922660827637,0.45395922660827637,,0.0,0.0,0.0,0.0
clamp.default,clamp,1,1,0,1.0,0.9152933955192566,0.9152933955192566,,0.0,0.0,0.0,0.0
constant_pad_nd.default,constant_pad_nd,1,0,1,0.0,1.0,1.0,,0.0,0.0,0.0,0.0
cos.default,cos,1,1,0,1.0,1.0225011110305786,1.0225011110305786,,0.0,0.0,0.0,0.0
cumsum.default,cumsum,1,0,1,0.0,1.0,1.0,,0.0,0.0,0.0,0.0
div.Scalar,div,1,1,0,1.0,0.2705424427986145,0.2705424427986145,,0.0,0.0,0.0,0.0
div.Tensor,div,1,1,0,1.0,0.9953066110610962,0.9953066110610962,,0.0,0.0,0.0,0.0
div_.Tensor,div_,1,1,0,1.0,0.996372401714325,0.996372401714325,,0.0,0.0,0.0,0.0
elu.default,elu,1,1,0,1.0,0.998369574546814,0.998369574546814,,0.0,0.0,0.0,0.0
eq.Scalar,eq,1,1,0,1.0,0.5258067846298218,0.5258067846298218,,0.0,0.0,0.0,0.0
eq.Tensor,eq,1,0,1,0.0,1.0,1.0,,0.00047810873365961015,0.00047810873365961015,0.00047810873365961015,0.00047810873365961015
erf.default,erf,1,1,0,1.0,1.0062097311019897,1.0062097311019897,,0.0,0.0,0.0,0.0
exp.default,exp,1,1,0,1.0,0.9871873259544373,0.9871873259544373,,0.0,0.0,0.0,0.0
fill_.Scalar,fill_,1,1,0,1.0,1.0141528844833374,1.0141528844833374,,0.0,0.0,0.0,0.0
fill_.Tensor,fill_,1,1,0,1.0,1.1371465921401978,1.1371465921401978,,0.0,0.0,0.0,0.0
flip.default,flip,1,1,0,1.0,1.3410199880599976,1.3410199880599976,,0.0,0.0,0.0,0.0
floor_divide.default,floor_divide,1,1,0,1.0,1.3842241764068604,1.3842241764068604,,0.0,0.0,0.0,0.0
ge.Scalar,ge,1,1,0,1.0,1.0148019790649414,1.0148019790649414,,0.0,0.0,0.0,0.0
gelu.default,gelu,1,1,0,1.0,0.980638861656189,0.980638861656189,,1.8140607288899546e-12,1.8331517992464796e-07,1.8331517992464796e-07,1.8140607288899546e-12
gelu_backward.default,gelu_backward,1,1,0,1.0,0.9684426188468933,0.9684426188468933,,9.411547097215589e-09,2.3323702080801922e-08,2.3323702080801922e-08,9.411547097215589e-09
gt.Scalar,gt,1,1,0,1.0,0.9797821640968323,0.9797821640968323,,0.0,0.0,0.0,0.0
gt.Tensor,gt,1,1,0,1.0,1.3967617750167847,1.3967617750167847,,0.0,0.0,0.0,0.0
isinf.default,isinf,1,1,0,1.0,1.5921173095703125,1.5921173095703125,,0.0,0.0,0.0,0.0
isnan.default,isnan,1,1,0,1.0,1.0097568035125732,1.0097568035125732,,0.0,0.0,0.0,0.0
le.Scalar,le,1,1,0,1.0,1.0006904602050781,1.0006904602050781,,nan,nan,nan,nan
lt.Scalar,lt,1,1,0,1.0,1.0170488357543945,1.0170488357543945,,0.0,0.0,0.0,0.0
lt.Tensor,lt,1,1,0,1.0,0.9841992855072021,0.9841992855072021,,0.0,0.0,0.0,0.0
masked_fill.Scalar,masked_fill,1,1,0,1.0,1.3790216445922852,1.3790216445922852,,0.0,0.0,0.0,0.0
masked_fill.Tensor,masked_fill,1,1,0,1.0,0.8593940138816833,0.8593940138816833,,0.0,0.0,0.0,0.0
masked_fill_.Scalar,masked_fill_,1,1,0,1.0,0.8994936943054199,0.8994936943054199,,0.0,0.0,0.0,0.0
max.default,max,1,1,0,1.0,1.3025343418121338,1.3025343418121338,,0.0,0.0,0.0,0.0
max.dim,max,1,1,0,1.0,0.30168014764785767,0.30168014764785767,,0.0,0.0,0.0,0.0
maximum.default,maximum,1,1,0,1.0,1.0178176164627075,1.0178176164627075,,0.0,0.0,0.0,0.0
mean.default,mean,1,0,1,0.0,1.0,1.0,,inf,inf,inf,inf
mean.dim,mean,1,1,0,1.0,1.1789028644561768,1.1789028644561768,,7.450580596923828e-09,1.4988987828701283e-08,1.4988987828701283e-08,7.450580596923828e-09
min.default,min,1,1,0,1.0,0.8285046219825745,0.8285046219825745,,0.0,0.0,0.0,0.0
minimum.default,minimum,1,0,1,0.0,1.0,1.0,,2.9445247491821647e-05,8.849286678014323e-05,8.849286678014323e-05,2.9445247491821647e-05
mm.default,mm,1,1,0,1.0,2.026824712753296,2.026824712753296,,3.252565383911133,0.0002590605872683227,0.0002590605872683227,3.252565383911133
mse_loss.default,mse_loss,1,1,0,1.0,1.4061870574951172,1.4061870574951172,,0.0,0.0,0.0,0.0
mul.Tensor,mul,1,1,0,1.0,0.9838533401489258,0.9838533401489258,,0.0,0.0,0.0,0.0
mul_.Tensor,mul_,1,1,0,1.0,0.4182380437850952,0.4182380437850952,,0.0,0.0,0.0,0.0
native_batch_norm.default,native_batch_norm,1,0,1,0.0,1.0,1.0,,0.00016743422068543623,8.605037673229769e-05,8.605037673229769e-05,0.00016743422068543623
native_batch_norm_backward.default,native_batch_norm_backward,1,0,1,0.0,1.0,1.0,,nan,nan,nan,nan
native_group_norm.default,native_group_norm,1,1,0,1.0,0.4509240388870239,0.4509240388870239,,4.6125283309568964e-05,0.0006845962877074877,0.0006845962877074877,4.6125283309568964e-05
native_group_norm_backward.default,native_group_norm_backward,1,1,0,1.0,0.4849255681037903,0.4849255681037903,,nan,nan,nan,nan
native_layer_norm.default,native_layer_norm,1,0,1,0.0,1.0,1.0,,0.00020745179911803766,0.0007588568842038512,0.0007588568842038512,0.00020745179911803766
ne.Scalar,ne,1,1,0,1.0,1.0144764184951782,1.0144764184951782,,0.0,0.0,0.0,0.0
neg.default,neg,1,1,0,1.0,1.0073070526123047,1.0073070526123047,,0.0,0.0,0.0,0.0
nonzero.default,nonzero,1,1,0,1.0,0.3749244511127472,0.3749244511127472,,0.0,0.0,0.0,0.0
pow.Scalar,pow,1,1,0,1.0,2.0018234252929688,2.0018234252929688,,4.656612873077393e-10,1.1927599186112303e-10,1.1927599186112303e-10,4.656612873077393e-10
pow.Tensor_Scalar,pow,1,1,0,1.0,0.5880019068717957,0.5880019068717957,,4.0252722101286054e-05,0.0010580376256257296,0.0010580376256257296,4.0252722101286054e-05
reciprocal.default,reciprocal,1,1,0,1.0,1.1473143100738525,1.1473143100738525,,5.471520125865936e-08,1.3481992411357169e-08,1.3481992411357169e-08,5.471520125865936e-08
relu.default,relu,1,1,0,1.0,0.996283769607544,0.996283769607544,,0.0,0.0,0.0,0.0
relu_.default,relu_,1,1,0,1.0,0.9874128103256226,0.9874128103256226,,0.0,0.0,0.0,0.0
remainder.Scalar,remainder,1,1,0,1.0,1.3714063167572021,1.3714063167572021,,0.0,0.0,0.0,0.0
