operator_name,reason,location
_adaptive_avg_pool2d,No detailed PyTorch documentation available,generated_kernels/internal_only/_adaptive_avg_pool2d
_adaptive_avg_pool2d_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/_adaptive_avg_pool2d_backward
_cudnn_rnn,No detailed PyTorch documentation available,generated_kernels/internal_only/_cudnn_rnn
_log_softmax_backward_data,No detailed PyTorch documentation available,generated_kernels/internal_only/_log_softmax_backward_data
_softmax_backward_data,No detailed PyTorch documentation available,generated_kernels/internal_only/_softmax_backward_data
_sparse_coo_tensor_with_dims_and_tensors,No detailed PyTorch documentation available,generated_kernels/internal_only/_sparse_coo_tensor_with_dims_and_tensors
_to_copy,No detailed PyTorch documentation available,generated_kernels/internal_only/_to_copy
_unsafe_view,No detailed PyTorch documentation available,generated_kernels/internal_only/_unsafe_view
add_,No detailed PyTorch documentation available,generated_kernels/internal_only/add_
as_strided_,No detailed PyTorch documentation available,generated_kernels/internal_only/as_strided_
avg_pool2d_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/avg_pool2d_backward
bernoulli_,No detailed PyTorch documentation available,generated_kernels/internal_only/bernoulli_
clamp_min,No detailed PyTorch documentation available,generated_kernels/internal_only/clamp_min
convolution_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/convolution_backward
copy_,No detailed PyTorch documentation available,generated_kernels/internal_only/copy_
div_,No detailed PyTorch documentation available,generated_kernels/internal_only/div_
elu,No detailed PyTorch documentation available,generated_kernels/internal_only/elu
elu_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/elu_backward
erf,No detailed PyTorch documentation available,generated_kernels/internal_only/erf
fill_,No detailed PyTorch documentation available,generated_kernels/internal_only/fill_
gelu_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/gelu_backward
grid_sampler_2d_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/grid_sampler_2d_backward
hardsigmoid_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/hardsigmoid_backward
hardswish_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/hardswish_backward
hardtanh,No detailed PyTorch documentation available,generated_kernels/internal_only/hardtanh
hardtanh_,No detailed PyTorch documentation available,generated_kernels/internal_only/hardtanh_
hardtanh_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/hardtanh_backward
leaky_relu_,No detailed PyTorch documentation available,generated_kernels/internal_only/leaky_relu_
leaky_relu_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/leaky_relu_backward
lift_fresh_copy,No detailed PyTorch documentation available,generated_kernels/internal_only/lift_fresh_copy
logical_and_,No detailed PyTorch documentation available,generated_kernels/internal_only/logical_and_
masked_fill,No detailed PyTorch documentation available,generated_kernels/internal_only/masked_fill
masked_fill_,No detailed PyTorch documentation available,generated_kernels/internal_only/masked_fill_
max_pool2d_with_indices_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/max_pool2d_with_indices_backward
mse_loss_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/mse_loss_backward
mul_,No detailed PyTorch documentation available,generated_kernels/internal_only/mul_
native_batch_norm,No detailed PyTorch documentation available,generated_kernels/internal_only/native_batch_norm
native_batch_norm_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/native_batch_norm_backward
native_group_norm,No detailed PyTorch documentation available,generated_kernels/internal_only/native_group_norm
native_group_norm_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/native_group_norm_backward
native_layer_norm,No detailed PyTorch documentation available,generated_kernels/internal_only/native_layer_norm
new_empty,No detailed PyTorch documentation available,generated_kernels/internal_only/new_empty
new_empty_strided,No detailed PyTorch documentation available,generated_kernels/internal_only/new_empty_strided
new_full,No detailed PyTorch documentation available,generated_kernels/internal_only/new_full
new_ones,No detailed PyTorch documentation available,generated_kernels/internal_only/new_ones
new_zeros,No detailed PyTorch documentation available,generated_kernels/internal_only/new_zeros
reflection_pad2d_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/reflection_pad2d_backward
relu,No detailed PyTorch documentation available,generated_kernels/internal_only/relu
relu_,No detailed PyTorch documentation available,generated_kernels/internal_only/relu_
repeat,No detailed PyTorch documentation available,generated_kernels/internal_only/repeat
rsub,No detailed PyTorch documentation available,generated_kernels/internal_only/rsub
select_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/select_backward
sigmoid,No detailed PyTorch documentation available,generated_kernels/internal_only/sigmoid
sigmoid_,No detailed PyTorch documentation available,generated_kernels/internal_only/sigmoid_
sigmoid_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/sigmoid_backward
silu_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/silu_backward
slice_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/slice_backward
split_with_sizes,No detailed PyTorch documentation available,generated_kernels/internal_only/split_with_sizes
tanh_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/tanh_backward
threshold_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/threshold_backward
unfold_backward,No detailed PyTorch documentation available,generated_kernels/internal_only/unfold_backward
unsqueeze_,No detailed PyTorch documentation available,generated_kernels/internal_only/unsqueeze_
