op_name,is_core,is_in_opinfo,is_in_torchbench
__and__,No,No,No
__iand__,No,No,No
__ilshift__,No,No,No
__ior__,No,No,No
__irshift__,No,No,No
__ixor__,No,No,No
__lshift__,No,No,No
__or__,No,No,No
__rshift__,No,No,No
__xor__,No,No,No
_adaptive_avg_pool2d,Yes,Yes,Yes
_adaptive_avg_pool2d_backward,Yes,No,Yes
_adaptive_avg_pool3d,Yes,Yes,No
_adaptive_avg_pool3d_backward,No,No,No
_add_batch_dim,No,No,No
_add_relu,No,No,No
_add_relu_,No,No,No
_addmm_activation,No,No,No
_aminmax,No,No,No
_amp_foreach_non_finite_check_and_unscale_,No,No,No
_amp_update_scale_,No,No,No
_assert_async,No,No,No
_assert_scalar,No,No,No
_assert_tensor_metadata,No,No,No
_autocast_to_full_precision,No,No,No
_autocast_to_reduced_precision,No,No,No
_backward,No,No,No
_batch_norm_impl_index,No,No,No
_batch_norm_impl_index_backward,No,No,No
_batch_norm_no_update,No,No,No
_batch_norm_with_update,No,Yes,No
_cast_Byte,No,No,No
_cast_Char,No,No,No
_cast_Double,No,No,No
_cast_Float,No,No,No
_cast_Half,No,No,No
_cast_Int,No,No,No
_cast_Long,No,No,No
_cast_Short,No,No,No
_cdist_backward,No,No,No
_cdist_forward,Yes,No,No
_cholesky_solve_helper,No,No,No
_choose_qparams_per_tensor,No,No,No
_chunk_cat,No,Yes,No
_coalesce,No,No,No
_coalesced_,No,No,No
_compute_linear_combination,No,No,No
_conj,No,No,No
_conj_copy,No,No,No
_conj_physical,No,No,No
_conv_depthwise2d,No,No,No
_convert_indices_from_coo_to_csr,No,No,No
_convert_indices_from_csr_to_coo,No,No,No
_convert_weight_to_int4pack,No,No,No
_convert_weight_to_int4pack_for_cpu,No,No,No
_convolution,No,No,No
_convolution_double_backward,No,No,No
_convolution_mode,No,No,No
_copy_from,No,No,No
_copy_from_and_resize,No,No,No
_cslt_compress,No,No,No
_cslt_sparse_mm,No,No,No
_cslt_sparse_mm_search,No,No,No
_ctc_loss,No,Yes,No
_ctc_loss_backward,No,No,No
_cudnn_attention_backward,No,No,No
_cudnn_attention_forward,No,No,No
_cudnn_ctc_loss,No,No,No
_cudnn_init_dropout_state,No,No,No
_cudnn_rnn,No,No,Yes
_cudnn_rnn_backward,No,No,No
_cudnn_rnn_flatten_weight,No,No,No
_cufft_clear_plan_cache,No,No,No
_cufft_get_plan_cache_max_size,No,No,No
_cufft_get_plan_cache_size,No,No,No
_cufft_set_plan_cache_max_size,No,No,No
_cummax_helper,No,No,No
_cummin_helper,No,No,No
_debug_has_internal_overlap,No,No,No
_dimI,No,No,No
_dimV,No,No,No
_dim_arange,No,No,No
_dirichlet_grad,No,No,No
_dyn_quant_matmul_4bit,No,No,No
_dyn_quant_pack_4bit_weight,No,No,No
_efficient_attention_backward,No,No,No
_efficient_attention_forward,No,No,No
_efficientzerotensor,No,No,No
_embedding_bag,Yes,No,No
_embedding_bag_backward,No,No,No
_embedding_bag_dense_backward,No,No,No
_embedding_bag_forward_only,No,Yes,No
_embedding_bag_per_sample_weights_backward,No,No,No
